Продукт,Калорийность,Белки,Жиры,Углеводы
Фасоль мотыльковая (mothbeans),343 кКал,"22,94 г","1,61 г","61,52 г"
"Фасоль мотыльковая (mothbeans), вареная, без соли",117 кКал,"7,81 г","0,55 г","20,96 г"
"Фасоль мотыльковая (mothbeans), вареная, с солью",117 кКал,"7,81 г","0,55 г","20,96 г"
"Фасоль пинто (пёстрая), зрелая",347 кКал,"21,42 г","1,23 г","47,05 г"
"Фасоль пинто (пёстрая), зрелая, вареная, без соли",143 кКал,"9,01 г","0,65 г","17,22 г"
"Фасоль пинто (пёстрая), зрелая, вареная, с солью",143 кКал,"9,01 г","0,65 г","17,22 г"
"Фасоль пинто (пёстрая), зрелая, консервированная",82 кКал,"4,6 г","0,56 г","10,58 г"
"Фасоль пинто (пёстрая), зрелая, консервированная, с пониженным содержанием соли",82 кКал,"4,6 г","0,56 г","10,58 г"
"Фасоль пинто (пёстрая), зрелая, консервированная, содержимое без жидкости, промытая водой",117 кКал,"7,04 г","0,97 г","20,77 г"
"Фасоль пинто (пёстрая), зрелые проросшие семена",62 кКал,"5,25 г","0,9 г","11,6 г"
"Фасоль пинто (пёстрая), зрелые проросшие семена, вареные, без соли",22 кКал,"1,86 г","0,32 г","4,1 г"
"Фасоль пинто (пёстрая), зрелые проросшие семена, вареные, с солью",20 кКал,"1,86 г","0,32 г","3,5 г"
"Фасоль пинто (пёстрая), консервированная, содержимое без жидкости",114 кКал,"6,99 г","0,9 г","14,72 г"
"Фасоль пинто (пёстрая), незрелые семена, замороженная",170 кКал,"9,8 г","0,5 г","26,8 г"
"Фасоль пинто (пёстрая), незрелые семена, замороженная, вареная, без соли",162 кКал,"9,31 г","0,48 г","25,47 г"
"Фасоль пинто (пёстрая), незрелые семена, замороженные, вареные, с солью",162 кКал,"9,31 г","0,48 г","25,47 г"
"Фасоль розовая, зрелые семена",343 кКал,"20,96 г","1,13 г","51,49 г"
"Фасоль розовая, зрелые семена, вареная, без соли",149 кКал,"9,06 г","0,49 г","22,61 г"
"Фасоль розовая, зрелые семена, вареная, с солью",149 кКал,"9,06 г","0,49 г","22,61 г"
Фасоль стручковая,23 кКал,"2,5 г","0,3 г",3 г
"Фасоль стручковая шелли, консервированная",30 кКал,"1,76 г","0,19 г","2,79 г"
"Фасоль стручковая, желтая",31 кКал,"1,82 г","0,12 г","3,73 г"
"Фасоль стручковая, желтая, вареная, без соли",35 кКал,"1,89 г","0,28 г","4,58 г"
"Фасоль стручковая, желтая, вареная, с солью",35 кКал,"1,89 г","0,28 г","4,58 г"
"Фасоль стручковая, желтая, замороженная",33 кКал,"1,8 г","0,21 г","4,78 г"
"Фасоль стручковая, желтая, замороженная, вареная, без соли",28 кКал,"1,49 г","0,17 г","3,45 г"
"Фасоль стручковая, желтая, замороженная, вареная, с солью",28 кКал,"1,49 г","0,17 г","3,45 г"
"Фасоль стручковая, желтая, консервированная",15 кКал,"0,8 г","0,1 г",2 г
"Фасоль стручковая, желтая, консервированная, без соли",15 кКал,"0,8 г","0,1 г",2 г
"Фасоль стручковая, зеленая",31 кКал,"1,83 г","0,22 г","4,27 г"
"Фасоль стручковая, зеленая, вареная, без соли",35 кКал,"1,89 г","0,28 г","4,68 г"
"Фасоль стручковая, зеленая, вареная, замороженная, без соли",28 кКал,"1,49 г","0,17 г","3,45 г"
"Фасоль стручковая, зеленая, вареная, с солью",35 кКал,"1,89 г","0,28 г","4,68 г"
"Фасоль стручковая, зеленая, замороженная",33 кКал,"1,79 г","0,21 г","4,94 г"
"Фасоль стручковая, зеленая, замороженная, вареная, с солью",28 кКал,"1,49 г","0,17 г","3,45 г"
"Фасоль стручковая, зеленая, замороженная, приготовленная в микороволновке",33 кКал,"1,98 г","0,41 г","3,58 г"
"Фасоль стручковая, зеленая, консервированная",15 кКал,"0,72 г","0,17 г","1,77 г"
"Фасоль стручковая, зеленая, консервированная, без соли",15 кКал,"0,8 г","0,1 г",2 г
"Фасоль стручковая, зеленая, консервированная, без соли, содержимое без жидкости",22 кКал,"1,12 г","0,46 г","2,42 г"
"Фасоль стручковая, зеленая, консервированная, содержимое без жидкости",21 кКал,"1,05 г","0,41 г","2,29 г"
"Фасоль стручковая, зеленая, приготовленная в микроволновке",33 кКал,"2,31 г","0,5 г","3,01 г"
"Фасоль стручковая, консервированная, без соли, содержимое без жидкости",20 кКал,"1,15 г","0,1 г","3,2 г"
"Фасоль стручковая, консервированная, со специями",16 кКал,"0,83 г","0,2 г","1,99 г"
"Фасоль стручковая, консервированная, содержимое без жидкости",20 кКал,"1,15 г","0,1 г","3,2 г"
Фасоль стручковая. Консервы,16 кКал,"1,2 г","0,1 г","2,4 г"
"Фасоль французская, зрелые семена, вареная, без соли",129 кКал,"7,05 г","0,76 г","14,62 г"
"Фасоль французская, зрелые семена, вареная, с солью",129 кКал,"7,05 г","0,76 г","14,62 г"
"Фасоль французская, зрелые семена, сырая",343 кКал,"18,81 г","2,02 г","38,91 г"
"Фасоль черная черепаха, зрелые семена",339 кКал,"21,25 г","0,9 г","47,75 г"
"Фасоль черная черепаха, зрелые семена, вареная без соли",130 кКал,"8,18 г","0,35 г","16,05 г"
"Фасоль черная черепаха, зрелые семена, вареная с солью",130 кКал,"8,18 г","0,35 г","16,05 г"
"Фасоль черная черепаха, зрелые семена, консервированная",91 кКал,"6,03 г","0,29 г","9,65 г"
"Фасоль черная, зрелые семена",341 кКал,"21,6 г","1,42 г","46,86 г"
"Фасоль черная, зрелые семена, вареная, без соли",132 кКал,"8,86 г","0,54 г","15,01 г"
"Фасоль черная, зрелые семена, вареная, с солью",132 кКал,"8,86 г","0,54 г","15,01 г"
"Фасоль черная, зрелые семена, консервированная, со сниженным содержанием натрия",91 кКал,"6,03 г","0,29 г","9,65 г"
"Фасоль черный глаз (коровий горох, вигна китайская), зрелая",336 кКал,"23,52 г","1,26 г","49,43 г"
"Фасоль черный глаз (коровий горох, вигна китайская), зрелая, вареная, без соли",116 кКал,"7,73 г","0,53 г","14,26 г"
"Фасоль черный глаз (коровий горох, вигна китайская), зрелая, вареная, с солью",116 кКал,"7,73 г","0,53 г","14,26 г"
"Фасоль черный глаз (коровий горох, вигна китайская), зрелая, консервированная",77 кКал,"4,74 г","0,55 г","10,33 г"
"Фасоль черный глаз (коровий горох, вигна китайская), зрелая, консервированная со свининой",83 кКал,"2,74 г","1,6 г","13,23 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, вареная",90 кКал,"2,95 г","0,35 г","13,83 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, вареная, без соли",97 кКал,"3,17 г","0,38 г","15,32 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, вареная, с солью",94 кКал,"3,17 г","0,38 г","14,73 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, замороженная",139 кКал,"8,98 г","0,7 г","20,13 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, замороженная, вареная, без соли",132 кКал,"8,49 г","0,66 г","17,36 г"
"Фасоль черный глаз (коровий горох, вигна китайская), незрелая, замороженная, вареная, с солью",131 кКал,"8,49 г","0,66 г","17,1 г"
"Фасоль, запеченная, домашнего приготоления",155 кКал,"5,54 г","5,15 г","16,13 г"
"Фасоль, запеченная, консервированная, обычная или вегетарианская",94 кКал,"4,75 г","0,37 г","17,04 г"
"Фасоль, запеченная, консервированная, с говядиной",121 кКал,"6,38 г","3,45 г","16,91 г"
"Фасоль, запеченная, консервированная, с сосисками",142 кКал,"6,75 г","6,57 г","8,49 г"
"Фасоль, запеченная, консервированная, со свининой",106 кКал,"5,19 г","1,55 г","14,49 г"
"Фасоль, запеченная, консервированная, со свининой, с сладким соусом",105 кКал,"4,52 г","0,89 г","17,17 г"
"Фасоль, запеченная, консервированная, со свининой, с томатным соусом",94 кКал,"5,15 г","0,93 г","14,69 г"
"Фасоль, зерно",298 кКал,21 г,2 г,47 г
"Фасоль, чили, барбекю, приготовленная, в стиле ранчо",97 кКал,5 г,1 г,"12,7 г"
"Фунчоза (лапша из крахмала бобов мунг), сухая",351 кКал,"0,16 г","0,06 г","85,59 г"
Хумус,237 кКал,"7,78 г","17,82 г","9,5 г"
"Хумус, домашнего приготовления",177 кКал,"4,86 г","8,59 г","16,12 г"
"Цыпленок, из заменителя мяса",224 кКал,"23,64 г","12,73 г","0,04 г"
"Цыпленок, из заменителя мяса, жареный, в панировке",234 кКал,"21,28 г","12,77 г","4,21 г"
Чечевица,352 кКал,"24,63 г","1,06 г","52,65 г"
"Чечевица проросшая, вареная, без соли",101 кКал,"8,8 г","0,45 г","21,25 г"
"Чечевица проросшая, жареная, с солью",101 кКал,"8,8 г","0,45 г","21,25 г"
"Чечевица проросшая, сырая",106 кКал,"8,96 г","0,55 г","22,14 г"
"Чечевица, зерно",295 кКал,24 г,"1,5 г","46,3 г"
"Чечевица, зрелые семена, вареная, без соли",116 кКал,"9,02 г","0,38 г","12,23 г"
"Чечевица, зрелые семена, вареная, с солью",114 кКал,"9,02 г","0,38 г","11,64 г"
"Чечевица, розовая",358 кКал,"23,91 г","2,17 г","52,3 г"
"Чили с бобами, консервированные",103 кКал,"6,12 г","3,76 г","9,94 г"
Чина,286 кКал,"24,4 г","2,2 г","41,3 г"
"Эдамамэ, варёные соевые бобы в стручках, замороженные, неприготовленные",109 кКал,"11,22 г","4,73 г","2,81 г"
"Эдамамэ, варёные соевые бобы в стручках, замороженные, приготовленные",121 кКал,"11,91 г","5,2 г","3,71 г"
